quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
Tân Bình,75.0,150.0,4.0,3.0,8.2
6,68.0,68.0,4.0,2.0,9.6
9,104.0,104.0,3.0,3.0,5.8
2,129.5,400.0,4.0,4.0,25.0
9,110.0,110.0,2.0,1.0,6.99
Gò Vấp,126.0,300.0,5.0,5.0,17.8
5,46.0,90.0,3.0,3.0,5.68
6,56.0,118.0,2.0,2.0,7.0
4,84.0,400.0,7.0,5.0,17.999
Thủ Đức (TP. Thủ Đức),56.0,56.0,2.0,2.0,5.0
7,32.0,32.0,2.0,2.0,4.79
6,63.0,210.0,4.0,4.0,8.5
7,55.1,275.0,3.0,5.0,10.6
1,40.0,157.0,4.0,4.0,24.0
7,122.0,122.0,3.0,2.0,11.0
10,64.0,64.0,4.0,4.0,10.5
8,60.0,300.0,5.0,5.0,9.8
12,50.0,50.0,3.0,4.0,5.85
5,77.0,210.0,6.0,6.0,28.6
8,52.0,110.0,3.0,3.0,0.95
12,108.0,108.0,1.0,1.0,9.0
Thủ Đức (TP. Thủ Đức),53.0,53.0,3.0,3.0,5.0
Tân Bình,192.0,200.0,6.0,6.0,45.0
1,60.0,60.0,4.0,4.0,18.5
4,58.5,58.5,2.0,2.0,3.39
Bình Thạnh,116.0,116.0,2.0,1.0,9.7
5,214.0,856.0,6.0,7.0,41.0
Thủ Đức (TP. Thủ Đức),41.0,41.0,1.0,1.0,8.0
1,68.0,476.0,7.0,7.0,43.0
7,100.0,180.0,4.0,4.0,9.3
6,76.0,196.0,4.0,4.0,13.5
Tân Phú,56.0,56.0,4.0,4.0,9.8
12,75.0,75.0,3.0,2.0,3.37
11,71.0,210.0,3.0,3.0,7.199
5,57.0,86.0,2.0,1.0,7.99
3,144.0,144.0,7.0,7.0,64.0
Phú Nhuận,88.0,500.0,8.0,8.0,18.5
10,45.0,210.0,8.0,4.0,13.5
12,450.0,450.0,2.0,2.0,37.0
7,75.0,75.0,3.0,2.0,5.05
Phú Nhuận,64.0,256.0,3.0,4.0,22.5
11,58.0,116.0,2.0,2.0,1.08
Tân Phú,160.0,547.0,10.0,8.0,17.5
4,58.0,116.0,2.0,2.0,0.93
4,80.0,80.0,2.0,2.0,5.0
2,510.0,510.0,4.0,4.0,300.0
10,105.0,110.0,5.0,5.0,28.0
Phú Nhuận,88.0,300.0,8.0,9.0,18.9
Tân Bình,200.0,800.0,4.0,4.0,72.0
Tân Bình,180.0,900.0,5.0,4.0,36.0
6,80.0,80.0,6.0,6.0,10.99
Tân Phú,87.0,260.0,6.0,4.0,20.499
Tân Phú,40.0,84.0,2.0,2.0,6.0
12,52.0,78.0,3.0,2.0,1.95
Bình Tân,48.0,110.0,3.0,2.0,3.85
11,75.0,225.0,4.0,3.0,12.25
5,55.0,110.0,3.0,3.0,1.43
4,122.0,122.0,3.0,3.0,1.93
2,133.0,133.0,4.0,5.0,70.0
3,178.0,178.0,4.0,4.0,192.0
Bình Tân,56.0,56.0,4.0,4.0,8.5
Tân Phú,40.0,160.0,4.0,4.0,9.0
11,68.0,68.0,3.0,3.0,4.2
4,86.0,86.0,2.0,2.0,8.2
Bình Tân,54.0,185.0,4.0,5.0,5.6
2,113.0,113.0,3.0,2.0,13.0
Tân Bình,37.0,76.0,2.0,2.0,6.68
11,60.0,270.0,6.0,5.0,18.2
Bình Thạnh,147.0,806.0,5.0,5.0,98.0
8,68.0,136.0,3.0,3.0,1.45
8,60.0,120.0,3.0,3.0,1.05
Bình Tân,64.0,180.0,4.0,3.0,11.5
Bình Tân,72.0,120.0,3.0,4.0,8.5
7,320.0,500.0,4.0,4.0,139.0
12,75.0,75.0,4.0,4.0,5.85
9,180.0,540.0,4.0,5.0,26.0
1,91.0,91.0,6.0,6.0,18.1
Thủ Đức (TP. Thủ Đức),60.0,60.0,4.0,5.0,10.0
3,274.7,1745.0,9.0,9.0,78.999
10,120.0,500.0,10.0,10.0,25.999
9,51.0,120.0,4.0,5.0,5.3
7,137.0,275.0,6.0,6.0,11.5
6,69.0,460.0,9.0,7.0,14.99
11,60.0,120.0,3.0,2.0,8.7
2,80.0,262.8,4.0,5.0,16.0
Tân Phú,55.0,310.0,6.0,5.0,9.899
4,100.0,100.0,3.0,2.0,6.0
2,55.0,214.7,4.0,5.0,7.6
10,120.0,120.0,7.0,5.0,14.5
7,140.0,140.0,5.0,5.0,40.999
Phú Nhuận,152.0,364.0,5.0,4.0,46.0
Tân Phú,39.0,139.0,3.0,3.0,4.99
Tân Phú,72.0,72.0,3.0,4.0,12.0
2,157.0,157.0,4.0,4.0,1.93
5,53.7,179.0,4.0,6.0,16.5
12,450.0,450.0,2.0,2.0,37.0
Tân Phú,64.0,200.0,3.0,3.0,7.0
5,85.0,85.0,4.0,3.0,2.95
4,56.0,56.0,1.0,1.0,4.1
Tân Bình,68.0,168.0,4.0,3.0,12.6
5,300.0,300.0,3.0,3.0,105.0
4,72.0,253.0,3.0,3.0,26.0
11,62.0,124.0,3.0,2.0,1.26
2,164.2,300.0,4.0,5.0,33.0
11,62.0,124.0,2.0,2.0,9.5
7,54.0,150.0,4.0,4.0,9.5
9,54.0,108.0,3.0,3.0,0.87
Bình Thạnh,40.0,100.0,3.0,3.0,2.7
5,80.0,160.0,4.0,3.0,0.98
10,105.0,200.0,4.0,4.0,21.999
4,50.0,50.0,1.0,1.0,3.7
1,256.0,1024.0,4.0,4.0,120.0
12,76.0,239.0,5.0,5.0,6.39
12,90.0,320.0,4.0,5.0,10.0
11,64.0,64.0,1.0,1.0,6.3
4,80.0,80.0,2.0,2.0,4.76
Tân Bình,160.0,640.0,4.0,4.0,70.0
1,180.0,400.0,9.0,10.0,54.0
8,109.0,200.0,3.0,2.0,7.9
Tân Phú,60.0,180.0,4.0,3.0,9.5
4,50.0,183.0,7.0,7.0,7.9
4,80.0,80.0,3.0,2.0,5.9
12,56.0,56.0,4.0,5.0,6.0
9,90.0,180.0,4.0,2.0,8.6
12,50.7,154.0,4.0,3.0,2.79
6,100.0,400.0,6.0,4.0,15.0
Phú Nhuận,308.0,1540.0,5.0,5.0,120.0
Phú Nhuận,70.0,350.0,5.0,5.0,18.0
7,220.0,650.0,6.0,6.0,47.0
5,24.0,96.0,2.0,2.0,5.08
1,100.0,78.0,4.0,5.0,72.0
5,60.0,250.0,5.0,6.0,20.4
7,120.0,300.0,6.0,6.0,8.5
12,825.0,800.0,4.0,2.0,32.999
9,60.0,120.0,3.0,3.0,0.88
12,64.0,64.0,4.0,5.0,6.35
Thủ Đức (TP. Thủ Đức),130.0,130.0,5.0,2.0,6.7
Bình Thạnh,44.0,150.0,5.0,6.0,9.75
11,57.5,57.5,3.0,3.0,3.75
1,66.5,66.5,6.0,6.0,66.5
10,213.0,350.0,5.0,5.0,41.0
Bình Thạnh,277.0,1148.0,9.0,9.0,105.0
Tân Phú,95.0,94.6,4.0,4.0,11.86
7,50.0,200.0,4.0,5.0,7.3
9,70.0,280.0,4.0,5.0,5.8
Tân Bình,172.0,688.0,4.0,4.0,35.0
6,88.0,240.0,4.0,3.0,13.5
1,33.0,75.0,2.0,2.0,6.5
Tân Bình,86.0,300.0,6.0,5.0,16.5
Tân Phú,25.0,50.0,2.0,2.0,3.1
1,120.0,720.0,6.0,6.0,65.0
9,173.0,320.0,7.0,7.0,15.0
Tân Bình,25.0,75.0,3.0,3.0,4.99
10,138.0,138.0,3.0,3.0,11.8
6,72.0,72.0,4.0,4.0,12.0
Tân Phú,56.0,56.0,3.0,3.0,8.5
12,38.0,70.0,1.0,2.0,3.8
12,63.0,63.0,3.0,3.0,5.99
Bình Tân,58.0,200.0,4.0,4.0,8.1
9,110.0,110.0,3.0,2.0,5.75
7,80.0,197.0,4.0,5.0,11.7
7,45.0,120.0,4.0,5.0,6.6
Tân Bình,56.0,120.0,2.0,2.0,11.9
12,120.0,21.0,3.0,3.0,6.75
7,105.0,180.0,3.0,3.0,12.9
5,62.0,124.0,3.0,3.0,1.09
5,55.0,110.0,3.0,3.0,0.75
10,90.0,500.0,6.0,6.0,30.999
6,75.0,260.0,5.0,6.0,11.8
1,84.0,357.0,4.0,4.0,28.0
Thủ Đức (TP. Thủ Đức),32.0,64.0,2.0,2.0,2.8
6,84.0,84.0,1.0,1.0,13.5
7,140.0,300.0,4.0,5.0,15.9
12,105.0,105.0,1.0,1.0,14.5
2,97.0,97.0,1.0,1.0,6.9
1,64.0,320.0,5.0,5.0,28.0
7,112.0,242.0,7.0,7.0,17.5
9,135.0,144.0,8.0,8.0,16.0
10,53.0,75.0,3.0,3.0,5.5
9,62.4,141.0,4.0,5.0,5.3
Gò Vấp,239.0,996.0,5.0,6.0,30.0
5,40.0,200.0,6.0,6.0,14.8
12,56.0,56.0,1.0,1.0,4.1
Bình Thạnh,32.0,95.0,3.0,2.0,4.95
6,101.0,200.0,3.0,2.0,11.0
Thủ Đức (TP. Thủ Đức),185.0,185.0,4.0,6.0,10.4
Gò Vấp,82.0,186.0,7.0,7.0,10.5
Bình Tân,80.0,170.0,4.0,5.0,13.0
Phú Nhuận,240.0,240.0,1.0,1.0,55.0
4,70.0,70.0,2.0,1.0,4.6
10,43.0,90.0,2.0,2.0,7.4
Bình Thạnh,116.0,116.0,2.0,1.0,9.7
6,102.0,450.0,4.0,4.0,19.7
5,56.0,112.0,3.0,3.0,0.99
6,154.0,380.0,6.0,3.0,12.0
2,216.0,500.0,4.0,4.0,65.0
Tân Phú,60.0,162.0,4.0,5.0,9.79
12,52.0,52.0,4.0,5.0,6.7
Bình Thạnh,71.0,200.0,4.0,5.0,6.7
7,60.0,60.0,4.0,4.0,6.9
9,157.0,157.0,3.0,1.0,6.99
