quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
2,200.0,450.0,4.0,5.0,60.0
2,143.0,143.0,1.0,1.0,29.0
2,216.0,500.0,4.0,4.0,65.0
2,400.0,400.0,7.0,5.0,15.2
2,105.0,105.0,3.0,2.0,2.46
2,120.0,400.0,7.0,8.0,15.2
2,149.5,350.2,4.0,4.0,40.0
2,100.0,350.0,4.0,5.0,25.8
2,287.8,512.5,5.0,5.0,119.0
2,130.0,358.0,5.0,5.0,33.0
2,157.0,157.0,4.0,4.0,1.93
2,110.0,110.0,3.0,3.0,1.705
2,90.0,200.0,4.0,4.0,16.5
2,55.0,214.7,4.0,5.0,7.6
2,73.7,73.7,5.0,5.0,10.5
2,56.0,165.0,5.0,6.0,5.8
2,127.5,272.7,5.0,5.0,21.5
2,204.8,675.8,31.0,31.0,25.5
2,53.0,140.0,4.0,4.0,6.5
2,200.0,340.0,4.0,4.0,22.5
2,95.0,237.0,4.0,4.0,12.5
2,81.8,186.0,4.0,4.0,13.0
2,69.0,183.0,4.0,5.0,8.0
2,124.0,146.0,3.0,2.0,24.0
2,152.0,502.0,5.0,5.0,28.0
2,92.0,219.6,5.0,5.0,10.3
2,97.0,97.0,1.0,1.0,6.9
2,75.8,158.9,3.0,3.0,12.0
2,94.4,225.0,4.0,5.0,14.0
2,94.0,400.0,7.0,7.0,14.0
2,138.0,422.0,3.0,3.0,99.0
2,350.0,300.0,4.0,4.0,64.0
2,1.0,1.0,2.0,2.0,4.12
2,61.0,61.0,2.0,2.0,1.55
2,77.0,77.0,2.0,2.0,1.28
2,110.0,110.0,3.0,3.0,1.505
2,61.0,61.0,2.0,2.0,1.55
2,108.0,108.0,3.0,2.0,1.45
2,102.0,102.0,3.0,2.0,1.58
2,120.0,120.0,3.0,2.0,9.5
2,129.0,129.0,3.0,2.0,21.0
2,127.0,127.0,3.0,2.0,20.5
2,114.0,550.0,4.0,4.0,65.0
2,92.0,92.0,2.0,2.0,10.5
