quan,dien_tich_dat_m2,dien_tich_su_dung_m2,phong_ngu,nha_tam,gia
6,81.0,81.0,4.0,3.0,15.0
6,64.0,64.0,3.0,2.0,9.6
6,85.0,85.0,1.0,1.0,10.5
6,68.0,68.0,5.0,4.0,10.0
6,73.0,73.0,5.0,3.0,13.0
6,122.0,122.0,5.0,3.0,17.5
6,56.0,56.0,2.0,2.0,9.5
6,68.0,68.0,4.0,4.0,11.5
6,72.0,72.0,2.0,2.0,13.5
6,112.0,112.0,30.0,30.0,21.5
6,79.0,80.0,5.0,4.0,8.9
6,100.0,450.0,8.0,8.0,24.5
6,131.0,555.0,17.0,18.0,28.0
6,200.0,400.0,4.0,4.0,75.0
6,1199.0,2684.0,15.0,25.0,300.0
6,126.0,212.0,5.0,5.0,16.8
6,46.0,220.0,5.0,5.0,10.8
6,57.0,57.0,3.0,3.0,3.8
6,61.0,124.0,3.0,3.0,0.977
6,66.0,130.0,4.0,3.0,0.995
6,66.0,130.0,4.0,3.0,1.06
6,170.0,400.0,4.0,4.0,15.0
6,126.0,221.0,5.0,6.0,23.5
6,180.0,180.0,3.0,1.0,14.0
6,80.0,320.0,5.0,4.0,11.95
6,116.0,350.0,10.0,6.0,21.0
6,132.0,450.0,4.0,4.0,26.0
6,98.0,180.0,3.0,2.0,10.5
6,135.0,520.0,5.0,4.0,16.5
6,100.0,600.0,5.0,6.0,30.0
6,148.0,580.0,10.0,8.0,19.0
6,96.0,380.0,6.0,6.0,14.3
6,104.0,624.0,6.0,8.0,17.9
6,84.0,320.0,4.0,4.0,12.8
6,125.0,600.0,20.0,20.0,28.0
6,69.0,460.0,9.0,7.0,14.99
6,96.0,380.0,5.0,4.0,31.0
6,98.0,450.0,8.0,6.0,23.8
6,112.0,450.0,6.0,4.0,13.9
6,80.0,400.0,5.0,5.0,14.5
6,76.0,300.0,5.0,4.0,8.7
6,86.0,86.0,4.0,4.0,16.0
6,1.2,3500.0,12.0,21.0,300.0
6,443.0,443.0,3.0,3.0,65.0
6,72.0,296.0,4.0,4.0,11.7
6,162.0,700.0,15.0,18.0,47.0
6,96.0,96.0,2.0,2.0,21.0
6,72.0,350.0,6.0,7.0,19.9
6,106.0,370.0,5.0,6.0,16.0
6,72.0,196.0,5.0,6.0,12.7
6,80.0,298.0,5.0,6.0,17.3
6,115.0,450.0,5.0,5.0,17.0
6,80.0,360.0,5.0,6.0,14.8
6,136.0,450.0,5.0,6.0,30.0
6,93.0,298.0,4.0,4.0,12.5
6,88.0,296.0,5.0,6.0,15.3
6,106.0,550.0,5.0,6.0,14.9
6,102.0,450.0,4.0,4.0,19.7
6,88.0,88.0,2.0,2.0,10.5
6,49.0,96.0,3.0,2.0,6.3
6,100.0,200.0,3.0,3.0,15.8
6,82.0,196.0,4.0,4.0,14.8
6,183.0,183.0,4.0,4.0,26.5
6,60.0,196.0,4.0,4.0,12.5
6,78.0,140.0,3.0,3.0,13.0
6,68.0,196.0,4.0,4.0,12.0
6,76.0,126.0,4.0,4.0,15.5
6,68.0,298.0,8.0,9.0,14.0
6,60.0,129.0,4.0,5.0,9.2
6,84.0,84.0,2.0,2.0,13.5
6,43.0,120.0,4.0,4.0,10.5
6,60.0,110.0,3.0,3.0,7.2
6,44.0,196.0,4.0,5.0,12.5
6,128.0,220.0,2.0,2.0,13.0
6,96.0,96.0,2.0,2.0,12.0
6,110.0,110.0,2.0,2.0,20.0
6,56.0,118.0,2.0,2.0,7.0
6,88.0,450.0,6.0,7.0,12.9
6,76.0,196.0,4.0,4.0,13.5
6,133.0,133.0,3.0,3.0,14.5
6,90.0,350.0,7.0,8.0,14.5
6,64.0,302.0,10.0,11.0,17.0
6,96.0,259.0,5.0,6.0,12.5
6,76.0,140.0,2.0,2.0,8.9
6,72.0,198.0,4.0,4.0,12.5
6,122.0,450.0,5.0,6.0,17.9
6,60.0,196.0,4.0,5.0,14.0
6,76.0,198.0,3.0,4.0,10.0
6,176.0,1000.0,8.0,9.0,41.0
6,72.0,218.0,5.0,6.0,12.7
6,144.0,550.0,7.0,8.0,28.0
6,280.0,560.0,20.0,25.0,32.0
6,47.0,90.0,2.0,2.0,6.5
6,78.0,196.0,4.0,4.0,16.0
6,78.0,196.0,4.0,4.0,16.0
6,112.0,540.0,7.0,7.0,21.5
6,48.0,192.0,3.0,3.0,10.5
6,177.0,1000.0,8.0,9.0,28.6
6,80.0,296.0,5.0,5.0,14.5
6,64.0,130.0,2.0,2.0,9.6
6,37.0,37.0,2.0,2.0,3.6
6,33.0,33.0,5.0,3.0,4.5
7,6117.0,9250.0,1.0,1.0,91.0
7,138.0,310.0,4.0,5.0,15.9
7,112.0,242.0,7.0,7.0,17.5
7,110.0,198.0,4.0,5.0,18.0
7,160.0,284.0,5.0,5.0,20.0
7,80.0,197.0,4.0,5.0,11.7
7,112.0,330.0,5.0,4.0,8.9
7,80.0,320.0,4.0,5.0,17.5
7,54.0,150.0,4.0,4.0,9.5
7,80.0,240.0,4.0,4.0,10.2
7,60.0,120.0,3.0,3.0,5.2
7,50.0,200.0,4.0,5.0,7.3
7,64.0,128.0,2.0,3.0,8.7
7,88.0,160.0,2.0,2.0,16.5
7,45.0,120.0,4.0,5.0,6.6
7,62.0,240.0,4.0,5.0,12.99
7,80.0,205.0,4.0,5.0,13.2
7,60.0,180.0,4.0,5.0,6.45
7,64.0,240.0,4.0,5.0,6.95
7,60.0,180.0,3.0,4.0,6.79
7,88.0,240.0,4.0,4.0,16.5
7,95.0,380.0,4.0,5.0,15.99
7,63.9,120.0,2.0,2.0,5.6
7,54.0,200.0,4.0,5.0,6.95
7,60.0,180.0,4.0,3.0,5.2
7,80.0,250.0,4.0,5.0,17.0
7,66.6,180.0,4.0,5.0,7.45
7,72.5,280.0,4.0,5.0,13.5
7,50.0,100.0,2.0,3.0,6.4
7,190.0,400.0,5.0,5.0,21.5
7,130.0,200.0,9.0,9.0,10.3
7,195.0,196.0,2.0,1.0,11.2
7,290.0,290.0,5.0,5.0,140.0
7,132.0,600.0,1.0,5.0,27.0
7,60.0,200.0,5.0,5.0,12.0
7,81.0,206.0,4.0,6.0,20.0
7,61.0,100.0,2.0,2.0,8.5
7,68.0,200.0,4.0,4.0,9.9
7,211.0,300.0,4.0,5.0,79.0
7,92.0,220.0,4.0,5.0,15.0
7,59.5,100.0,2.0,2.0,9.5
7,155.0,210.0,5.0,5.0,55.0
7,51.0,173.0,4.0,4.0,13.0
7,100.0,300.0,4.0,5.0,25.0
7,192.0,35.0,6.0,6.0,27.0
7,111.0,280.0,4.0,4.0,26.5
7,330.0,700.0,6.0,7.0,24.5
7,90.0,270.0,4.0,4.0,13.3
7,140.0,500.0,23.0,23.0,21.0
7,106.0,300.0,5.0,6.0,22.0
7,105.0,200.0,6.0,6.0,8.9
7,220.0,650.0,5.0,6.0,44.0
7,80.0,200.0,3.0,3.0,14.5
7,126.0,280.0,3.0,4.0,38.0
7,112.0,112.0,2.0,1.0,16.0
7,120.0,300.0,6.0,6.0,8.5
7,32.0,60.0,2.0,2.0,4.35
7,210.0,300.0,6.0,6.0,14.9
7,168.0,400.0,6.0,6.0,17.2
7,102.0,140.0,2.0,2.0,15.0
7,160.0,160.0,2.0,2.0,23.5
7,105.0,180.0,3.0,3.0,12.9
7,94.0,250.0,4.0,4.0,9.4
7,88.0,300.0,6.0,7.0,15.5
7,221.0,500.0,5.0,6.0,19.6
7,125.0,200.0,7.0,7.0,11.9
7,162.0,250.0,5.0,5.0,13.9
7,140.0,300.0,4.0,5.0,15.9
7,130.0,500.0,7.0,8.0,23.0
7,190.0,250.0,10.0,10.0,12.0
7,131.0,131.0,4.0,4.0,8.7
7,88.0,400.0,6.0,6.0,15.5
7,90.0,350.0,6.0,6.0,16.6
7,220.0,650.0,5.0,6.0,4.29
7,220.0,350.0,12.0,12.0,21.9
7,220.0,700.0,6.0,6.0,43.0
7,109.0,200.0,5.0,5.0,8.9
7,220.0,650.0,5.0,6.0,47.0
7,270.0,400.0,4.0,4.0,16.9
7,220.0,650.0,6.0,6.0,47.0
7,120.0,120.0,3.0,2.0,17.0
7,900.0,900.0,60.0,60.0,38.0
7,120.0,200.0,4.0,3.0,10.2
7,150.0,250.0,5.0,5.0,13.6
7,90.0,250.0,4.0,5.0,13.5
7,100.0,180.0,4.0,4.0,9.3
7,140.0,320.0,4.0,5.0,15.9
7,115.0,115.0,2.0,2.0,13.8
7,80.0,200.0,4.0,4.0,8.7
7,133.0,200.0,7.0,7.0,11.5
7,153.0,200.0,4.0,5.0,12.99
7,79.0,150.0,2.0,2.0,9.8
7,130.0,200.0,10.0,10.0,10.3
7,90.0,160.0,6.0,6.0,8.5
7,120.0,250.0,5.0,4.0,8.5
7,90.0,350.0,10.0,11.0,9.8
7,160.0,400.0,5.0,6.0,21.0
7,220.0,500.0,10.0,10.0,21.9
7,152.0,350.0,7.0,7.0,20.3
7,900.0,1200.0,60.0,60.0,38.0
7,70.0,100.0,2.0,2.0,7.0
7,90.0,250.0,4.0,4.0,11.9
7,195.0,500.0,22.0,22.0,16.8
7,79.0,140.0,3.0,3.0,11.5
7,500.0,500.0,3.0,3.0,55.0
7,110.0,300.0,6.0,7.0,12.5
7,175.0,300.0,3.0,4.0,24.0
7,60.0,100.0,3.0,2.0,8.5
7,40.0,40.0,2.0,3.0,5.8
7,115.0,187.0,2.0,3.0,8.1
7,21.0,44.0,2.0,2.0,0.0
7,40.0,120.0,3.0,3.0,10.5
7,90.0,360.0,3.0,4.0,18.6
7,54.6,54.6,2.0,2.0,11.0
7,55.1,275.0,3.0,5.0,10.6
7,137.0,275.0,6.0,6.0,11.5
7,55.0,220.0,5.0,5.0,11.0
7,128.5,384.0,6.0,7.0,10.5
7,60.0,180.0,4.0,5.0,12.5
7,64.0,120.0,3.0,2.0,5.4
7,64.0,384.0,8.0,9.0,13.8
7,72.0,288.0,4.0,5.0,12.7
7,91.2,180.0,4.0,2.0,15.0
7,90.0,360.0,3.0,5.0,18.6
7,90.0,360.0,4.0,5.0,16.8
7,72.0,288.0,4.0,4.0,15.5
7,55.0,110.0,2.0,3.0,5.5
7,225.5,225.5,6.0,4.0,15.5
7,101.0,500.0,15.0,15.0,21.5
7,255.0,510.0,1.0,2.0,33.0
7,220.0,700.0,6.0,7.0,42.0
7,102.0,102.0,3.0,2.0,8.8
7,88.0,250.0,4.0,5.0,8.6
7,140.0,140.0,5.0,5.0,40.999
7,140.0,140.0,5.0,5.0,40.999
7,140.0,140.0,5.0,5.0,41.0
7,140.0,140.0,5.0,5.0,41.0
7,42.0,42.0,3.0,3.0,6.25
7,66.0,66.0,4.0,4.0,6.8
7,52.0,52.0,2.0,2.0,7.1
7,103.0,103.0,2.0,2.0,7.5
7,80.0,80.0,5.0,5.0,8.65
7,80.0,80.0,3.0,2.0,6.8
7,75.0,75.0,2.0,2.0,9.9
7,115.0,115.0,4.0,4.0,8.9
7,75.0,75.0,13.0,14.0,12.0
7,41.0,41.0,2.0,2.0,6.05
7,72.0,72.0,2.0,3.0,6.3
7,75.0,75.0,3.0,2.0,5.9
7,60.0,60.0,4.0,4.0,6.9
7,60.0,60.0,3.0,4.0,6.79
7,32.0,32.0,2.0,2.0,4.79
7,76.0,76.0,4.0,4.0,6.5
7,53.0,53.0,4.0,5.0,9.5
7,73.0,73.0,9.0,5.0,6.8
7,95.0,95.0,4.0,5.0,8.5
7,54.0,54.0,3.0,3.0,5.65
7,76.0,76.0,3.0,2.0,8.2
7,48.0,48.0,6.0,7.0,9.6
7,84.0,84.0,4.0,2.0,7.65
7,48.0,48.0,4.0,3.0,9.8
7,48.0,48.0,4.0,3.0,7.6
7,30.0,30.0,4.0,3.0,7.3
7,67.0,67.0,4.0,4.0,7.4
7,95.0,95.0,4.0,4.0,7.9
7,64.0,64.0,4.0,4.0,8.5
7,52.0,52.0,4.0,5.0,7.4
7,222.0,222.0,30.0,30.0,75.0
7,233.4,233.4,6.0,6.0,40.0
7,111.0,900.0,5.0,5.0,25.0
7,111.0,790.0,6.0,6.0,23.5
7,320.0,500.0,4.0,4.0,139.0
7,105.0,210.0,6.0,6.0,7.8
7,100.0,500.0,10.0,10.0,40.5
7,355.0,1333.0,6.0,6.0,98.0
7,173.0,310.0,5.0,5.0,27.0
7,40.0,100.0,3.0,4.0,8.099
7,120.0,100.0,2.0,2.0,26.3
7,280.0,1490.0,70.0,70.0,70.0
8,136.0,400.0,5.0,5.0,12.0
8,55.0,55.0,2.0,1.0,7.95
8,24.0,77.0,2.0,3.0,5.2
8,42.0,82.0,2.0,2.0,3.85
8,60.0,120.0,3.0,3.0,8.4
8,53.6,53.6,2.0,2.0,1.8
8,30.0,30.0,2.0,2.0,2.125
8,30.0,30.0,2.0,2.0,2.155
8,53.0,53.0,2.0,2.0,1.739
8,21.0,42.0,2.0,1.0,1.37
8,97.4,97.4,3.0,1.0,6.0
8,134.0,134.0,3.0,1.0,11.2
8,180.0,300.0,7.0,7.0,17.4
8,140.0,350.0,4.0,3.0,14.0
8,100.0,180.0,7.0,3.0,7.5
8,94.0,160.0,3.0,2.0,8.7
8,278.0,1950.0,80.0,80.0,42.0
8,1000.0,2000.0,4.0,5.0,78.0
8,62.0,150.0,5.0,3.0,6.4
8,78.0,78.0,6.0,6.0,5.9
8,220.0,300.0,4.0,2.0,19.0
8,150.0,400.0,5.0,3.0,11.5
8,240.0,400.0,7.0,4.0,17.5
8,45.0,250.0,4.0,5.0,8.1
8,84.0,300.0,4.0,4.0,6.5
8,1240.0,1240.0,2.0,2.0,65.0
8,98.0,98.0,3.0,1.0,5.9
8,320.0,600.0,4.0,3.0,26.5
8,88.0,320.0,4.0,4.0,9.2
8,122.0,350.0,5.0,3.0,11.5
8,207.0,699.0,28.0,30.0,27.0
8,178.0,350.0,4.0,2.0,11.1
8,2515.0,2515.0,3.0,2.0,98.0
8,1560.0,1560.0,6.0,3.0,71.0
8,190.0,300.0,4.0,4.0,18.0
8,68.0,400.0,11.0,6.0,8.2
8,100.0,400.0,5.0,5.0,8.3
8,48.0,140.0,4.0,4.0,3.27
8,88.0,66.0,8.0,6.0,8.8
8,73.0,73.0,5.0,4.0,7.3
8,120.0,480.0,4.0,5.0,24.0
8,128.0,492.0,7.0,8.0,24.5
8,96.0,384.0,5.0,5.0,18.0
8,58.2,291.0,4.0,4.0,18.0
8,60.0,240.0,4.0,5.0,16.0
8,62.0,310.0,6.0,7.0,15.0
8,106.2,400.0,4.0,5.0,14.7
8,52.1,200.0,3.0,3.0,11.0
8,80.0,160.0,2.0,2.0,11.9
8,20.5,41.0,2.0,2.0,2.4
8,100.0,100.0,1.0,1.0,16.0
8,118.0,118.0,3.0,2.0,10.5
8,66.0,250.0,5.0,5.0,6.8
8,102.0,408.0,6.0,7.0,7.5
8,65.5,65.5,3.0,3.0,7.0
8,48.5,48.5,3.0,2.0,11.0
8,42.0,42.0,4.0,3.0,5.5
8,56.0,56.0,2.0,2.0,1.79
8,40.0,80.0,3.0,2.0,3.19
8,54.0,54.0,3.0,2.0,5.5
8,43.0,120.0,2.0,2.0,6.2
8,27.0,24.0,1.0,1.0,2.049
8,63.0,98.0,3.0,1.0,3.8
8,56.0,112.0,4.0,3.0,0.889
8,71.0,150.0,3.0,2.0,0.981
8,68.0,138.0,2.0,2.0,1.071
8,84.0,300.0,4.0,4.0,6.7
8,320.0,800.0,4.0,3.0,26.5
8,105.0,300.0,3.0,3.0,7.8
8,2410.0,2410.0,5.0,2.0,100.0
8,184.0,320.0,4.0,2.0,0.028
8,303.0,600.0,20.0,4.0,20.0
8,278.0,1950.0,80.0,80.0,42.0
8,109.0,200.0,3.0,2.0,7.9
8,2515.0,2700.0,10.0,2.0,98.0
8,150.0,190.0,3.0,2.0,10.2
8,100.0,100.0,1.0,1.0,6.35
8,100.0,400.0,4.0,3.0,9.7
8,500.0,500.0,6.0,6.0,30.0
8,156.0,156.0,3.0,1.0,9.7
8,149.0,420.0,5.0,5.0,11.5
8,100.0,400.0,4.0,4.0,9.5
8,190.0,300.0,4.0,4.0,18.0
8,1240.0,1500.0,6.0,2.0,55.0
8,90.0,270.0,5.0,3.0,4.2
8,114.0,300.0,4.0,4.0,5.6
8,102.0,3000.0,5.0,5.0,7.0
8,64.0,264.0,6.0,6.0,17.0
8,43.0,43.0,2.0,2.0,5.15
8,70.0,70.0,4.0,2.0,4.3
8,50.0,50.0,4.0,3.0,3.8
8,59.1,108.0,2.0,1.0,4.69
8,80.0,80.0,4.0,4.0,2.85
8,52.6,52.6,3.0,3.0,1.9
8,72.0,290.0,8.0,9.0,13.0
8,60.0,120.0,3.0,3.0,1.13
8,60.0,120.0,3.0,3.0,1.13
8,60.0,120.0,3.0,3.0,1.05
8,65.0,130.0,3.0,3.0,1.35
8,63.0,126.0,3.0,3.0,0.82
8,60.0,120.0,3.0,3.0,1.22
8,82.5,82.5,3.0,3.0,2.2
8,62.0,120.0,3.0,3.0,0.985
8,70.0,140.0,3.0,3.0,0.95
8,60.0,120.0,3.0,3.0,0.95
8,64.0,128.0,3.0,3.0,0.91
8,64.0,128.0,3.0,3.0,0.88
8,60.0,120.0,3.0,3.0,0.94
8,72.0,72.0,3.0,2.0,2.8
8,64.0,192.0,3.0,3.0,0.91
8,64.0,192.0,3.0,3.0,0.88
8,59.0,118.0,3.0,3.0,0.86
8,62.0,124.0,3.0,3.0,0.76
8,58.0,116.0,3.0,3.0,0.93
8,65.0,130.0,3.0,2.0,0.925
8,67.0,134.0,4.0,3.0,0.915
8,60.0,120.0,3.0,2.0,0.815
8,64.0,128.0,3.0,3.0,0.93
8,66.0,132.0,3.0,3.0,0.916
8,68.0,136.0,3.0,3.0,0.975
8,67.0,134.0,3.0,3.0,0.78
8,60.0,180.0,3.0,3.0,0.86
8,69.0,138.0,3.0,3.0,0.87
8,65.0,130.0,3.0,3.0,0.92
8,70.0,140.0,3.0,3.0,0.98
8,64.0,128.0,3.0,3.0,0.97
8,60.0,180.0,3.0,3.0,0.86
8,60.0,118.0,3.0,3.0,0.81
8,65.0,129.0,3.0,3.0,0.76
8,63.0,126.0,3.0,3.0,0.84
8,59.0,118.0,3.0,2.0,0.97
8,65.0,130.0,5.0,13.0,1.06
8,60.0,120.0,2.0,2.0,0.6
8,59.0,118.0,2.0,2.0,0.895
8,62.0,124.0,2.0,2.0,1.1
8,60.0,120.0,2.0,2.0,0.6
8,63.0,126.0,2.0,2.0,0.87
8,59.0,118.0,2.0,2.0,0.895
8,65.0,130.0,2.0,2.0,1.06
8,60.0,120.0,2.0,2.0,0.89
8,62.0,124.0,3.0,2.0,0.92
8,64.0,128.0,3.0,3.0,0.935
8,64.0,128.0,3.0,4.0,0.99
8,64.0,128.0,3.0,3.0,0.934
8,56.0,112.0,4.0,3.0,1.085
8,59.0,177.0,4.0,3.0,1.064
8,56.0,168.0,4.0,3.0,0.991
8,56.0,168.0,4.0,3.0,0.88
8,54.0,162.0,4.0,3.0,1.18
8,56.0,160.0,4.0,3.0,0.962
8,60.0,180.0,4.0,3.0,0.992
8,55.0,165.0,4.0,3.0,0.961
8,52.0,52.0,3.0,4.0,1.89
8,40.0,80.0,2.0,2.0,5.2
8,29.0,58.0,3.0,3.0,4.4
8,20.0,20.0,3.0,2.0,2.2
8,65.0,130.0,3.0,3.0,1.23
8,68.0,118.0,3.0,3.0,2.05
8,65.0,130.0,3.0,3.0,1.47
8,65.0,130.0,3.0,3.0,1.23
8,68.0,136.0,3.0,3.0,1.45
8,52.0,110.0,3.0,3.0,0.95
8,63.0,120.0,3.0,3.0,0.95
8,58.0,116.0,3.0,3.0,1.87
8,58.0,116.0,3.0,3.0,1.87
8,240.0,240.0,6.0,5.0,45.0
8,58.0,116.0,3.0,3.0,1.1
8,62.0,124.0,3.0,3.0,0.98
8,61.0,120.0,3.0,3.0,1.1
8,58.0,116.0,2.0,2.0,1.27
8,52.0,104.0,2.0,2.0,0.89
8,48.0,96.0,2.0,2.0,0.95
8,56.0,112.0,2.0,2.0,1.13
8,61.0,122.0,3.0,2.0,1.29
8,63.0,126.0,3.0,2.0,1.35
8,52.0,52.0,2.0,2.0,7.0
8,120.0,600.0,3.0,4.0,15.0
8,80.0,80.0,1.0,1.0,4.5
8,60.0,60.0,2.0,2.0,5.4
8,80.0,80.0,3.0,3.0,7.0
8,75.0,150.0,3.0,4.0,7.499
8,55.0,55.0,3.0,3.0,1.088
8,58.0,58.0,3.0,3.0,0.975
8,84.0,84.0,2.0,1.0,11.7
8,66.0,82.0,6.0,8.0,11.2
8,140.0,140.0,4.0,3.0,0.73
8,84.6,84.6,4.0,4.0,4.6
8,38.4,160.0,2.0,3.0,25.0
8,34.0,66.0,2.0,2.0,3.55
8,75.0,75.0,3.0,4.0,7.5
8,52.0,90.8,3.0,3.0,5.7
8,12.0,12.5,2.0,2.0,1.73
8,50.0,75.0,1.0,1.0,0.009
8,54.0,52.0,4.0,3.0,4.85
8,37.0,70.0,2.0,2.0,3.35
8,40.0,120.0,3.0,3.0,5.9
8,84.0,84.0,4.0,4.0,9.3
8,26.0,52.0,2.0,2.0,2.1
8,60.0,160.0,4.0,4.0,5.85
8,110.0,500.0,5.0,6.0,12.2
8,80.0,240.0,4.0,4.0,11.3
8,64.0,300.0,6.0,7.0,12.4
8,110.0,400.0,5.0,6.0,9.9
8,65.0,240.0,4.0,4.0,8.5
8,70.0,140.0,2.0,4.0,6.8
8,60.0,150.0,4.0,4.0,4.3
8,80.0,350.0,5.0,5.0,5.7
8,72.0,140.0,2.0,3.0,6.9
8,55.0,130.0,3.0,4.0,5.8
8,100.0,200.0,3.0,2.0,14.0
8,72.0,210.0,4.0,4.0,7.8
8,80.0,160.0,3.0,2.0,7.9
8,60.0,300.0,5.0,5.0,9.8
8,50.0,240.0,5.0,5.0,9.7
8,66.0,68.0,2.0,3.0,6.7
8,44.0,44.0,2.0,2.0,2.95
8,32.0,32.0,2.0,3.0,3.25
8,36.0,72.0,3.0,2.0,3.96
8,58.5,58.5,2.0,2.0,2.85
8,60.0,60.0,2.0,2.0,2.75
8,75.0,320.0,10.0,5.0,11.1
8,27.0,54.0,2.0,2.0,3.4
8,40.0,80.0,3.0,2.0,3.79
8,68.0,68.0,2.0,3.0,6.0
8,33.0,33.0,2.0,2.0,1.39
8,41.0,41.0,3.0,3.0,3.69
8,70.0,70.0,2.0,3.0,6.7
8,60.0,60.0,3.0,4.0,6.5
8,75.0,190.0,2.0,2.0,2.15
8,150.0,150.0,3.0,3.0,10.0
8,46.0,92.0,2.0,2.0,4.9
8,65.0,130.0,3.0,2.0,0.95
8,50.0,100.0,2.0,2.0,0.935
8,64.0,128.0,3.0,2.0,0.81
8,56.0,112.0,2.0,2.0,0.79
8,60.0,120.0,3.0,2.0,0.86
8,63.0,126.0,3.0,2.0,0.93
8,52.0,104.0,2.0,2.0,0.87
8,66.0,132.0,3.0,2.0,1.09
8,48.0,96.0,2.0,2.0,0.75
8,59.0,118.0,2.0,2.0,0.73
8,67.0,134.0,3.0,2.0,0.725
8,56.0,112.0,2.0,2.0,0.94
8,68.0,136.0,3.0,2.0,0.91
8,60.0,120.0,3.0,1.0,1.06
8,60.0,120.0,3.0,2.0,0.94
8,60.0,120.0,3.0,2.0,1.03
8,60.0,120.0,3.0,2.0,1.09
8,60.0,120.0,3.0,2.0,1.01
8,63.0,126.0,2.0,2.0,2.55
8,104.0,312.0,3.0,3.0,11.0
8,36.0,107.0,4.0,3.0,3.86
8,58.0,58.0,4.0,4.0,2.3
8,27.0,27.0,2.0,2.0,4.0
8,30.6,30.6,2.0,2.0,4.0
8,52.0,104.0,3.0,2.0,0.95
8,62.0,122.0,3.0,3.0,1.14
8,58.0,116.0,4.0,3.0,1.87
8,60.0,120.0,3.0,3.0,0.965
8,62.0,120.0,3.0,3.0,1.15
8,63.0,130.0,3.0,3.0,0.95
8,68.0,136.0,3.0,3.0,1.56
8,62.0,124.0,3.0,3.0,1.1
8,60.0,120.0,3.0,3.0,1.45
8,65.0,130.0,3.0,3.0,0.98
8,100.0,100.0,3.0,4.0,2.4
8,100.0,100.0,3.0,3.0,2.4
8,95.0,95.0,3.0,3.0,2.4
8,66.0,132.0,2.0,2.0,5.2
8,70.0,140.0,3.0,3.0,1.1
8,55.0,110.0,2.0,3.0,1.27
8,66.0,132.0,3.0,3.0,1.05
8,65.0,130.0,3.0,3.0,1279.999
8,60.0,120.0,3.0,3.0,1.053
8,70.0,70.0,3.0,3.0,2.28
8,70.0,70.0,3.0,3.0,2.26
8,58.8,58.8,4.0,3.0,2.5
8,58.0,58.0,4.0,4.0,2.4
9,51.0,120.0,4.0,5.0,5.3
9,100.0,278.0,5.0,5.0,11.5
9,87.0,87.0,2.0,2.0,5.0
9,227.0,303.0,4.0,3.0,65.0
9,54.0,77.0,1.0,1.0,6.2
9,97.0,110.0,4.0,2.0,9.5
9,212.0,281.0,3.0,1.0,12.0
9,173.0,320.0,7.0,7.0,15.0
9,98.0,115.0,6.0,6.0,10.0
9,178.0,240.0,5.0,5.0,22.7
9,270.0,365.0,4.0,5.0,27.0
9,356.7,396.9,5.0,6.0,29.8
9,180.0,291.0,5.0,6.0,23.0
9,135.6,238.8,4.0,5.0,7.79
9,80.1,240.0,4.0,3.0,6.4
9,487.0,425.0,5.0,5.0,78.0
9,102.0,120.0,5.0,3.0,13.5
9,93.0,96.0,3.0,2.0,7.2
9,60.0,79.0,4.0,4.0,4.7
9,100.0,100.0,4.0,5.0,18.0
9,180.0,291.7,5.0,6.0,22.0
9,162.9,300.0,4.0,4.0,20.0
9,180.0,540.0,4.0,5.0,26.0
9,52.0,52.0,2.0,2.0,3.85
9,106.0,106.0,6.0,6.0,7.7
9,45.0,68.0,1.0,1.0,8.3
9,94.0,120.0,1.0,1.0,11.0
9,135.0,144.0,8.0,8.0,16.0
9,105.0,150.0,4.0,4.0,17.0
9,65.0,70.0,3.0,3.0,6.5
9,192.0,232.0,3.0,3.0,14.4
9,68.0,100.0,4.0,3.0,8.4
9,94.0,105.0,4.0,3.0,7.5
9,136.0,140.0,2.0,1.0,9.0
9,99.0,110.0,3.0,3.0,10.5
9,139.0,150.0,5.0,4.0,16.5
9,108.0,155.0,3.0,3.0,14.5
9,60.4,210.0,4.0,5.0,6.1
9,133.5,133.5,2.0,1.0,6.5
9,100.0,150.0,1.0,1.0,14.0
9,56.0,131.0,4.0,4.0,5.8
9,100.0,220.0,5.0,4.0,11.0
9,1000.0,1300.0,3.0,5.0,26.0
9,70.0,70.0,4.0,4.0,4.2
9,60.0,60.0,4.0,5.0,8.85
9,88.0,88.0,5.0,5.0,7.4
9,87.0,87.0,2.0,1.0,6.199
9,190.0,530.0,6.0,6.0,23.0
9,1000.0,1000.0,5.0,3.0,18.5
9,85.0,214.0,4.0,5.0,15.5
9,117.0,235.0,9.0,9.0,7.65
9,56.0,56.0,3.0,4.0,5.8
9,175.0,245.0,3.0,4.0,26.0
9,190.0,850.0,3.0,3.0,34.0
9,52.0,123.0,3.0,3.0,4.85
9,73.0,73.0,3.0,3.0,7.0
9,77.0,77.0,2.0,2.0,5.8
9,52.0,123.0,4.0,3.0,6.15
9,30.0,30.0,4.0,3.0,3.9
9,72.0,124.0,4.0,3.0,4.5
9,56.0,124.0,4.0,3.0,5.7
9,146.0,146.0,3.0,2.0,10.5
9,62.0,123.0,4.0,5.0,5.5
9,86.0,123.0,4.0,2.0,9.0
9,52.0,123.0,3.0,3.0,5.2
9,86.0,123.0,3.0,4.0,11.9
9,43.0,43.0,2.0,2.0,4.5
9,30.0,51.0,2.0,2.0,4.05
9,68.0,68.0,1.0,1.0,4.25
9,115.0,250.0,3.0,4.0,13.5
9,92.0,92.0,5.0,5.0,7.9
9,89.5,140.0,2.0,2.0,5.9
9,130.0,130.0,3.0,2.0,7.0
